FID,ID,Lat,Lon
117,827000,29.8075,-94.2619
118,825500,29.9478,-94.4003
119,825400,29.9453,-94.3261
120,820201,33.7108,-117.5331
121,810055,37.6477,-122.0979
122,810022,32.7344,-96.695
123,810021,32.7361,-96.6567
124,810012,37.566,-121.9784
125,810004,32.8717,-96.7286
126,800421,34.7333,-120
127,800390,34.5111,-119.8239
128,800361,34.7,-120.5833
129,800259,34.5889,-120.4539
130,800258,34.6331,-120.4667
131,800249,34.8939,-120.0817
132,800238,34.7719,-119.6361
133,800233,34.6131,-120.1967
134,800228,34.445,-119.6883
135,800227,34.4706,-119.6756
136,800221,34.9825,-119.6681
137,800205,34.6975,-120.45
138,800070,48.058,-92.8411
139,799028,34.3121,-117.4785
140,799002,34.1238,-116.4093
141,796383,34.4683,-117.3932
142,796304,34.9516,-116.8642
143,793355,34.0442,-117.2471
144,793259,34.159,-116.7975
145,793132,34.0216,-117.0447
146,793023,34.034,-117.2104
147,793015,34.0519,-116.9527
148,792893,34.1872,-117.3211
149,792222,34.0233,-117.3322
150,792118,34.222,-117.4067
151,792017,34.1796,-117.4448
152,792015,34.1674,-117.25
153,792001,34.1038,-117.2685
154,791335,34.0411,-117.6239
155,791262,34.0123,-117.6883
156,791075,34.0719,-117.5928
157,790157,32.7817,-98.0603
158,790153,31.7831,-95.6039
159,790150,32.7333,-96.9667
160,790115,31.8111,-106.3758
161,790114,33.6542,-101.8136
162,790109,31.9433,-102.1889
163,790100,29.3783,-100.9269
164,790092,33.9786,-98.4928
165,790090,32.4106,-99.6822
166,790089,32.8192,-97.3614
167,790088,32.8519,-96.8556
168,790087,31.6189,-97.2283
169,790073,30.1831,-97.68
170,790065,28.0836,-97.0464
171,790063,29.3389,-98.4719
172,790061,29.98,-95.36
173,790056,29.7622,-95.3593
174,790055,29.3048,-94.7934
175,790048,27.7839,-97.5108
176,790047,29.2733,-94.8592
177,790045,29.5442,-98.4839
178,790041,29.9506,-94.0206
179,790040,43.9906,-70.9475
180,790039,29.5439,-98.2736
181,790034,26.2281,-97.6542
182,790031,33.2061,-97.1989
183,790029,32.6808,-96.8681
184,790027,32.35,-94.65
185,790017,30.5892,-96.3647
186,760065,42.2706,-83.4753
187,760062,42.6789,-83.1333
188,760061,31.925,-104.8253
189,760060,42.5475,-83.1742
190,760059,42.4556,-83.3756
191,760038,42.8378,-72.735
192,720009,39.2032,-123.1851
193,650100,30.3036,-97.6143
194,630228,29.8258,-96.5807
195,630224,29.8452,-97.0447
196,630212,30.1047,-97.3192
197,630209,30.2318,-97.4327
198,630191,30.2963,-97.9256
199,630187,30.4208,-97.7975
200,630180,30.5384,-97.9289
201,630145,30.5993,-98.1709
202,630142,30.6686,-98.211
203,630133,30.5577,-98.4722
204,630113,30.9232,-98.6846
205,630069,30.6576,-98.4276
